rank,rank_change,npsn,sekolah,nilai_total,provinsi,kota_kab,jenis_sekolah
570,-60,60403474,SMAS AVEROS ,"528,828",Prov. Papua Barat,Kota Sorong,SMA
571,-80,20504478,SMAN 2 BOJONEGORO ,"528,807",Prov. Jawa Timur,Kab. Bojonegoro,SMA
572,-103,20224511,SMA NEGERI 1 TASIKMALAYA ,"528,805",Prov. Jawa Barat,Kota Tasikmalaya,SMA
573,-,20223067,SMAS ISLAM PANGLIMA BESAR SOEDIRMAN ,"528,749",Prov. Jawa Barat,Kota Bekasi,SMA
574,54,20538394,SMAN 1 KERTOSONO ,"528,729",Prov. Jawa Timur,Kab. Nganjuk,SMA
575,3,20540294,SMA DARUL ULUM 2 UNGGULAN BPPT ,"528,692",Prov. Jawa Timur,Kab. Jombang,SMA
576,-16,69765014,SMAS ALBANNA ,"528,682",Prov. Bali,Kota Denpasar,SMA
577,60,10307525,SMAN 3 BUKITTINGGI ,"528,565",Prov. Sumatera Barat,Kota Bukittinggi,SMA
578,2,20100210,SMAN 5 JAKARTA ,"528,454",Prov. D.K.I. Jakarta,Kota Jakarta Pusat,SMA
579,37,20402116,SMAN 1 SEMIN ,"528,415",Prov. D.I. Yogyakarta,Kab. Gunung Kidul,SMA
580,-14,69982590,SMA AL WILDAN ISLAMIC SCHOOL ,"528,414",Prov. Banten,Kab. Tangerang,SMA
581,356,20328911,SMA NEGERI 12 ,"528,396",Prov. Jawa Tengah,Kota Semarang,SMA
582,161,20327979,SMAS MTA SURAKARTA ,"528,379",Prov. Jawa Tengah,Kota Surakarta,SMA
583,62,20327608,SMKN 1 MAGELANG ,"528,348",Prov. Jawa Tengah,Kota Magelang,SMK
584,291,10609706,SMA XAVERIUS 03 PALEMBANG ,"528,328",Prov. Sumatera Selatan,Kota Palembang,SMA
585,-,20533610,SMAS LABORATORIUM UM ,"528,260",Prov. Jawa Timur,Kota Malang,SMA
586,180,20177948,MAS PEMBANGUNAN UIN ,"528,238",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,MA
587,-121,20229166,SMAN 4 KOTA DEPOK ,"528,221",Prov. Jawa Barat,Kota Depok,SMA
588,-179,20317483,SMAN 1 BAE KUDUS ,"528,121",Prov. Jawa Tengah,Kab. Kudus,SMA
589,57,20237987,SMAN 1 CIKARANG PUSAT ,"528,091",Prov. Jawa Barat,Kab. Bekasi,SMA
590,3,20314884,SMAN 1 CEPU ,"528,064",Prov. Jawa Tengah,Kab. Blora,SMA
591,-85,20510147,SMAN 2 PONOROGO ,"528,049",Prov. Jawa Timur,Kab. Ponorogo,SMA
592,-252,20509318,SMAN 1 MAGETAN ,"528,047",Prov. Jawa Timur,Kab. Magetan,SMA
593,12,10303905,SMAN 2 PAYAKUMBUH ,"527,984",Prov. Sumatera Barat,Kota Payakumbuh,SMA
594,329,20328866,SMA NEGERI 08 ,"527,919",Prov. Jawa Tengah,Kota Semarang,SMA
595,198,69980514,MAN INSAN CENDEKIA KOTA PALU ,"527,910",Prov. Sulawesi Tengah,Kota Palu,MA
596,67,20219316,SMAN 7 BANDUNG ,"527,907",Prov. Jawa Barat,Kota Bandung,SMA
597,-,20219782,SMA PGII 1 ,"527,898",Prov. Jawa Barat,Kota Bandung,SMA
598,-306,20223045,SMAN 4 BEKASI ,"527,853",Prov. Jawa Barat,Kota Bekasi,SMA
599,179,20503415,SMA NEGERI 1 JOMBANG ,"527,841",Prov. Jawa Timur,Kab. Jombang,SMA
600,-,20327566,SMAN 5 MAGELANG ,"527,821",Prov. Jawa Tengah,Kota Magelang,SMA
601,-240,20327967,SMAN 2 SURAKARTA ,"527,788",Prov. Jawa Tengah,Kota Surakarta,SMA
602,-84,20329508,SMA Negeri 3 Pekalongan ,"527,775",Prov. Jawa Tengah,Kota Pekalongan,SMA
603,348,20220337,SMAN 8 BOGOR ,"527,736",Prov. Jawa Barat,Kota Bogor,SMA
604,38,20363001,MAS WATHONIYAH ISLAMIYAH KARANGDUWUR ,"527,734",Prov. Jawa Tengah,Kab. Kebumen,MA
605,-,20328899,SMA NEGERI 14 ,"527,731",Prov. Jawa Tengah,Kota Semarang,SMA
606,-34,20312173,SMAN KARANGPANDAN ,"527,715",Prov. Jawa Tengah,Kab. Karanganyar,SMA
607,-63,20402796,SMA NEGERI 1 SENTOLO ,"527,645",Prov. D.I. Yogyakarta,Kab. Kulon Progo,SMA
608,-71,20103258,SMAN 93 JAKARTA ,"527,608",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
609,-159,20206209,SMAN 1 MARGAHAYU ,"527,607",Prov. Jawa Barat,Kab. Bandung,SMA
610,321,20534387,SMAN 3 KEDIRI ,"527,470",Prov. Jawa Timur,Kota Kediri,SMA
611,-,20229186,SMAS YASPEN TUGU IBU ,"527,374",Prov. Jawa Barat,Kota Depok,SMA
612,6,20305013,SMAN 1 KUTOWINANGUN ,"527,347",Prov. Jawa Tengah,Kab. Kebumen,SMA
613,-,20329844,SMAN 4 TEGAL ,"527,304",Prov. Jawa Tengah,Kota Tegal,SMA
614,-,20302104,SMKN 1 BANYUMAS ,"527,293",Prov. Jawa Tengah,Kab. Banyumas,SMK
615,-189,20533638,SMAS KATOLIK COR YESU ,"527,283",Prov. Jawa Timur,Kota Malang,SMA
616,-,10210857,SMAN 4 MEDAN ,"527,261",Prov. Sumatera Utara,Kota Medan,SMA
617,124,20580048,MAN 2 KOTA MADIUN ,"527,163",Prov. Jawa Timur,Kota Madiun,MA
618,-3,20318337,SMA NEGERI 1 WELAHAN ,"527,150",Prov. Jawa Tengah,Kab. Jepara,SMA
619,-23,20339022,SMA NEGERI 1 TAYU ,"527,133",Prov. Jawa Tengah,Kab. Pati,SMA
620,-109,20103784,SMKN 48 JAKARTA ,"527,121",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMK
621,-79,20606829,SMAN 7 TANGERANG ,"527,082",Prov. Banten,Kota Tangerang,SMA
622,-39,20501862,SMAN 1 GEDANGAN ,"527,069",Prov. Jawa Timur,Kab. Sidoarjo,SMA
623,86,20363282,MAN 2 YOGYAKARTA ,"527,052",Prov. D.I. Yogyakarta,Kota Yogyakarta,MA
624,-81,30304260,SMAN 7 BANJARMASIN ,"527,049",Prov. Kalimantan Selatan,Kota Banjarmasin,SMA
625,121,20100223,SMAN 27 JAKARTA ,"526,969",Prov. D.K.I. Jakarta,Kota Jakarta Pusat,SMA
626,133,20300732,SMA NEGERI 1 MAJENANG ,"526,862",Prov. Jawa Tengah,Kab. Cilacap,SMA
627,323,20340792,SMKN 1 KARANGANYAR ,"526,812",Prov. Jawa Tengah,Kab. Karanganyar,SMK
628,-230,20321428,SMA NEGERI 1 PARAKAN ,"526,747",Prov. Jawa Tengah,Kab. Temanggung,SMA
629,-,20319300,SMAN 2 MRANGGEN ,"526,714",Prov. Jawa Tengah,Kab. Demak,SMA
630,354,20584466,MAN 2 PONOROGO ,"526,713",Prov. Jawa Timur,Kab. Ponorogo,MA
631,324,20100796,SMAN 72 JAKARTA ,"526,686",Prov. D.K.I. Jakarta,Kota Jakarta Utara,SMA
632,-87,20223032,SMAN 11 BEKASI ,"526,668",Prov. Jawa Barat,Kota Bekasi,SMA
633,-202,20206151,SMAN 1 BALEENDAH ,"526,623",Prov. Jawa Barat,Kab. Bandung,SMA
634,-,69947314,SMA ISLAM TERPADU BAITUSSALAM ,"526,622",Prov. D.I. Yogyakarta,Kab. Sleman,SMA
635,-97,20362426,SMAS ISLAM AL-AZHAR SOLO BARU ,"526,610",Prov. Jawa Tengah,Kab. Sukoharjo,SMA
636,250,20330459,SMKN 1 PURWOKERTO ,"526,567",Prov. Jawa Tengah,Kab. Banyumas,SMK
637,-263,30304597,SMAN 1 BANJARBARU ,"526,509",Prov. Kalimantan Selatan,Kota Banjarbaru,SMA
638,-,69946189,SMA MUHAMMADIYAH 10 GKB GRESIK ,"526,374",Prov. Jawa Timur,Kab. Gresik,SMA
639,79,20203739,SMAN 1 CIANJUR ,"526,361",Prov. Jawa Barat,Kab. Cianjur,SMA
640,-201,20300731,SMA NEGERI 1 MAOS ,"526,348",Prov. Jawa Tengah,Kab. Cilacap,SMA
641,-121,10302476,SMAN 1 BATU SANGKAR ,"526,342",Prov. Sumatera Barat,Kab. Tanah Datar,SMA
642,-,20320386,SMA NEGERI 1 BERGAS ,"526,186",Prov. Jawa Tengah,Kab. Semarang,SMA
643,-126,20308442,SMAN 1 SIMO ,"526,048",Prov. Jawa Tengah,Kab. Boyolali,SMA
644,-,20328878,SMA NEGERI 10 ,"525,996",Prov. Jawa Tengah,Kota Semarang,SMA
645,205,69857938,SMAN 12 KOTA DEPOK ,"525,962",Prov. Jawa Barat,Kota Depok,SMA
646,312,10263738,MAN 1 KOTA BUKITTINGGI ,"525,891",Prov. Sumatera Barat,Kota Bukittinggi,MA
647,-,69886285,SMA ISLAM AL-FAJAR ,"525,849",Prov. Jawa Barat,Kota Bekasi,SMA
648,27,20220341,SMAN 10 BOGOR ,"525,810",Prov. Jawa Barat,Kota Bogor,SMA
649,-169,20219306,SMAN 6 BANDUNG ,"525,774",Prov. Jawa Barat,Kota Bandung,SMA
650,-,20532167,SMAS LUQMAN AL HAKIM ,"525,705",Prov. Jawa Timur,Kota Surabaya,SMA
