rank,rank_change,npsn,sekolah,nilai_total,provinsi,kota_kab,jenis_sekolah
937,-152,10700669,SMAN 1 REJANG LEBONG ,"515,109",Prov. Bengkulu,Kab. Rejang Lebong,SMA
938,-,20100812,SMAN 45 JAKARTA ,"515,080",Prov. D.K.I. Jakarta,Kota Jakarta Utara,SMA
939,-,20277070,MAN 2 Kota Bandung ,"515,032",Prov. Jawa Barat,Kota Bandung,MA
940,-,30401516,SMKN 1 BALIKPAPAN ,"514,988",Prov. Kalimantan Timur,Kota Balikpapan,SMK
941,-,20546530,SMAS TUNAS LUHUR ,"514,949",Prov. Jawa Timur,Kab. Probolinggo,SMA
942,-,20327935,SMAS BATIK 1 SURAKARTA ,"514,884",Prov. Jawa Tengah,Kota Surakarta,SMA
943,-,11002189,SMAS KARTINI ,"514,880",Prov. Kepulauan Riau,Kota Batam,SMA
944,-,20536818,SMAN 2 BATU ,"514,831",Prov. Jawa Timur,Kota Batu,SMA
945,-,20363027,MAN KOTA MAGELANG ,"514,825",Prov. Jawa Tengah,Kota Magelang,MA
946,-,20231303,SMAS NURUL HIKMAH ,"514,799",Prov. Jawa Barat,Kab. Bogor,SMA
947,-346,10600905,SMAN 1 UNGGULAN MUARA ENIM ,"514,798",Prov. Sumatera Selatan,Kab. Muara Enim,SMA
948,-,10210864,SMAN 15 MEDAN ,"514,763",Prov. Sumatera Utara,Kota Medan,SMA
949,-111,20219141,SMKN 7 BANDUNG ,"514,739",Prov. Jawa Barat,Kota Bandung,SMK
950,-84,20537011,SMAN 1 KEBOMAS ,"514,671",Prov. Jawa Timur,Kab. Gresik,SMA
951,-,20532262,SMAN 8 SURABAYA ,"514,656",Prov. Jawa Timur,Kota Surabaya,SMA
952,-34,30315160,MAN 2 SAMARINDA ,"514,580",Prov. Kalimantan Timur,Kota Samarinda,MA
953,-467,10807070,SMAN 9 BANDAR LAMPUNG ,"514,516",Prov. Lampung,Kota Bandar Lampung,SMA
954,-219,20326490,SMAN 1 BUMIAYU ,"514,511",Prov. Jawa Tengah,Kab. Brebes,SMA
955,-,30203478,SMAN 2 PALANGKA RAYA ,"514,489",Prov. Kalimantan Tengah,Kota Palangka Raya,SMA
956,-315,20407372,SMAS TERPADU BINA UMAT ,"514,394",Prov. D.I. Yogyakarta,Kab. Sleman,SMA
957,-21,20306174,SMAN 4 PURWOREJO ,"514,370",Prov. Jawa Tengah,Kab. Purworejo,SMA
958,-,69728578,SMAS IT AL FIDAA ,"514,353",Prov. Jawa Barat,Kab. Bekasi,SMA
959,-,20103302,SMAN 76 JAKARTA ,"514,302",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMA
960,-195,20311331,SMAN 2 WONOGIRI ,"514,128",Prov. Jawa Tengah,Kab. Wonogiri,SMA
961,-,10603844,SMA NEGERI 03 PALEMBANG ,"514,128",Prov. Sumatera Selatan,Kota Palembang,SMA
962,-,20324212,SMAN 2 PEMALANG ,"514,125",Prov. Jawa Tengah,Kab. Pemalang,SMA
963,-,20535098,SMKN 2 BLITAR ,"514,056",Prov. Jawa Timur,Kota Blitar,SMK
964,-,20500481,SMAN 1 CERME ,"514,048",Prov. Jawa Timur,Kab. Gresik,SMA
965,-,20502721,SMAN 1 GEDEG ,"514,044",Prov. Jawa Timur,Kab. Mojokerto,SMA
966,-,20501698,SMAN 1 WONOAYU ,"514,021",Prov. Jawa Timur,Kab. Sidoarjo,SMA
967,-,20177926,MAN 11 JAKARTA ,"514,004",Prov. D.K.I. Jakarta,Kota Jakarta Selatan,MA
968,-,69763270,SMAS IT BAITUL MUSLIM ,"513,985",Prov. Lampung,Kab. Lampung Timur,SMA
969,-,69950015,SMA Islam Terpadu Granada ,"513,957",Prov. Kalimantan Timur,Kota Samarinda,SMA
970,-,20309672,SMKN 1 PEDAN ,"513,940",Prov. Jawa Tengah,Kab. Klaten,SMK
971,-,60300625,SMAN 1 MERAUKE ,"513,916",Prov. Papua,Kab. Merauke,SMA
972,-184,20538321,SMAN 1 NGANJUK ,"513,904",Prov. Jawa Timur,Kab. Nganjuk,SMA
973,-,20606856,SMAS YUPPENTEK 1 ,"513,861",Prov. Banten,Kota Tangerang,SMA
974,-,20503375,SMK NEGERI 1 JOMBANG ,"513,857",Prov. Jawa Timur,Kab. Jombang,SMK
975,-,20606851,SMAN 11 TANGERANG ,"513,824",Prov. Banten,Kota Tangerang,SMA
976,-,20232396,SMAS PGRI CIBINONG ,"513,811",Prov. Jawa Barat,Kab. Bogor,SMA
977,-281,20503407,SMA NEGERI NGORO ,"513,753",Prov. Jawa Timur,Kab. Jombang,SMA
978,-,20536297,SMAN 2 PROBOLINGGO ,"513,634",Prov. Jawa Timur,Kota Probolinggo,SMA
979,-,69760562,SMAN 18 BEKASI ,"513,620",Prov. Jawa Barat,Kota Bekasi,SMA
980,-,20517766,SMKN 1 SINGOSARI ,"513,597",Prov. Jawa Timur,Kab. Malang,SMK
981,-,20363028,MAN 1 KOTA PEKALONGAN ,"513,596",Prov. Jawa Tengah,Kota Pekalongan,MA
982,-,20232371,SMAN 1 TAJURHALANG ,"513,534",Prov. Jawa Barat,Kab. Bogor,SMA
983,-,20103781,SMKN 51 JAKARTA ,"513,375",Prov. D.K.I. Jakarta,Kota Jakarta Timur,SMK
984,-231,20508492,SMAN 2 NGAWI ,"513,344",Prov. Jawa Timur,Kab. Ngawi,SMA
985,-,20540064,SMAS MUHAMMADIYAH 2 ,"513,317",Prov. Jawa Timur,Kab. Sidoarjo,SMA
986,-97,20221590,SMAS MARDI YUANA ,"513,290",Prov. Jawa Barat,Kota Sukabumi,SMA
987,-90,20223019,SMAN 10 BEKASI ,"513,260",Prov. Jawa Barat,Kota Bekasi,SMA
988,-661,20606848,SMAN 2 TANGERANG ,"513,253",Prov. Banten,Kota Tangerang,SMA
989,-47,50101706,SMAN 1 KUTA SELATAN ,"513,244",Prov. Bali,Kab. Badung,SMA
990,-109,30401066,SMA Negeri 1 Samarinda ,"513,175",Prov. Kalimantan Timur,Kota Samarinda,SMA
991,-,20503411,SMA NEGERI BARENG ,"513,157",Prov. Jawa Timur,Kab. Jombang,SMA
992,-,20314906,SMAN 2 CEPU ,"513,125",Prov. Jawa Tengah,Kab. Blora,SMA
993,-100,20221559,SMAN 1 SUKABUMI ,"513,106",Prov. Jawa Barat,Kota Sukabumi,SMA
994,-,20542496,SMAN 1 DURENAN ,"513,100",Prov. Jawa Timur,Kab. Trenggalek,SMA
995,-29,20537286,SMKN 1 BOYOLANGU ,"513,092",Prov. Jawa Timur,Kab. Tulungagung,SMK
996,-,10403902,SMK NEGERI 1 PEKANBARU ,"513,079",Prov. Riau,Kota Pekanbaru,SMK
997,-,20313849,SMAN 1 GUBUG ,"513,075",Prov. Jawa Tengah,Kab. Grobogan,SMA
998,-537,10901104,SMAN 1 PANGKAL PINANG ,"513,048",Prov. Kepulauan Bangka Belitung,Kota Pangkalpinang,SMA
999,-,20580755,MAN KOTA SURABAYA ,"513,027",Prov. Jawa Timur,Kota Surabaya,MA
1000,-189,20303985,SMAN 1 BAWANG ,"513,023",Prov. Jawa Tengah,Kab. Banjarnegara,SMA
